id,type,model,SN,region
KDD41704,Вакуумный упаковщик,Deep 2241,106978,Київ
KDD41691,Вакуумный упаковщик,Deep 2241,102652,Київ
KDD41688,Вакуумный упаковщик,Deep 2241,102511,Черкаси
KDD41690,Вакуумный упаковщик,Deep 2241,102583,Київ
KDD41678,Вакуумный упаковщик,Deep 2241,23268,Львів
KDD41689,Вакуумный упаковщик,Deep 2241,102515,Львів
KDD41699,Вакуумный упаковщик,Deep 2241,106737,Суми
KDD41701,Вакуумный упаковщик,Deep 2241,106973,Житомир
KDD41681,Вакуумный упаковщик,Deep 2241,96860,Запоріжжя
KDD41706,Вакуумный упаковщик,Deep 2241,106995,Запоріжжя
KDD41679,Вакуумный упаковщик,Deep 2241,93614,Біла Церква
KDD41700,Вакуумный упаковщик,Deep 2241,106972,Київ
KDD41686,Вакуумный упаковщик,Deep 2241,102445,Одеса
KDD41680,Вакуумный упаковщик,Deep 2241,96857,Чернігів
KDD41703,Вакуумный упаковщик,Deep 2241,106977,Івано Франківськ
KDD41682,Вакуумный упаковщик,Deep 2241,101720,Миколаїв
KDD41685,Вакуумный упаковщик,Deep 2241,102443,Київ
KDD41702,Вакуумный упаковщик,Deep 2241,106976,Львів
KDD41705,Вакуумный упаковщик,Deep 2241,106980,Херсон
KDD41695,Вакуумный упаковщик,Deep 2241,106287,Хмельницький
KDD41692,Вакуумный упаковщик,Deep 2241,102664,Дніпро
KDD41698,Вакуумный упаковщик,Deep 2241,106736,Харків
