id,type,model,SN,region
KKR14208,Вакуумный упаковщик,DoCash 2241,1888,Кривий ріг
KPL14126,Вакуумный упаковщик,DoCash 2241,1851,Полтава
KCS14813,Вакуумный упаковщик,DoCash 2241,1862,Черкаси
KOD14214,Вакуумный упаковщик,DoCash 2241,1881,Одеса
KCV14140,Вакуумный упаковщик,DoCash 2241,1875,Чернівці
KPL14127,Вакуумный упаковщик,DoCash 2241,1877,Полтава
KKG14630,Вакуумный упаковщик,DoCash 2241,1886,Кіровоград
KLV34513,Вакуумный упаковщик,DoCash 2241,1882,Львів
KMK14262,Вакуумный упаковщик,DoCash 2241,1866,Закарпаття
KKR14206,Вакуумный упаковщик,DoCash 2241,1883,Кривий ріг
KZP14254,Вакуумный упаковщик,DoCash 2241,,Запоріжжя
KZP14253,Вакуумный упаковщик,DoCash 2241,1783,Запоріжжя
KZP14252,Вакуумный упаковщик,DoCash 2241,1780,Запоріжжя
KDN14448,Вакуумный упаковщик,DoCash 2241,1771,Дніпро
KSU14868,Вакуумный упаковщик,DoCash 2241,1850,Суми
KVO14756,Вакуумный упаковщик,DoCash 2241,1863,Волинь
KHM14719,Вакуумный упаковщик,DoCash 2241,1874,Хмельницький
KCS14812,Вакуумный упаковщик,DoCash 2241,1880,Черкаси
KLV34512,Вакуумный упаковщик,DoCash 2241,1868,Львів
KOD14216,Вакуумный упаковщик,DoCash 2241,1876,Одеса
KOD14215,Вакуумный упаковщик,DoCash 2241,1861,Одеса
KKI14237,Вакуумный упаковщик,DoCash 2241,1779,Київ
KKR14207,Вакуумный упаковщик,DoCash 2241,1887,Кривий ріг
KHA14038,Вакуумный упаковщик,DoCash 2241,1869,Харків
KHA14040,Вакуумный упаковщик,DoCash 2241,1873,Харків
KDN14322,Вакуумный упаковщик,DoCash 2241,1878,Дніпро
