Тип работ;Стоимость работ
Витягання стрічки;240
Заміна блоку живлення;2160
Заміна вала поворотного;1880
Заміна вилки;614
Заміна електродвигуна;2160
Заміна електромагніту;1010
Заміна механізму зварювання;2100
Заміна механізму петлеутворення, подачі і затягування;1700
Заміна ножа;644
Заміна оптоелектронного датчика;660
Заміна підшипників;410
Заміна плати ЕОМ;2100
Заміна редуктора;882
Заміна роликів;602
Заміна сенсорів;950
Заміна ультразвукового генератора;2256
Заміна ультразвукової головки;2280
Ремонт блоку живлення;1020
Ремонт електродвигуна;1110
Ремонт механізму зварювання;2020
Ремонт механізму петлеутворення, подачі і затягування;1140
Ремонт плати ЕОМ;1140
Ремонт редуктора;840
Ремонт ультразвукового генератора;1020
ТО;384
