WorkType;Price
Заміна рахункового датчика;620
Заміна синхродатчика;562
Заміна блока живлення;1226
Ремонт блока живлення;680
Заміна плати ЕОМ;1220
Ремонт плати ЕОМ;980
Заміна привідних ременів;400
Ремонт вузлів транспортного механізму;560
Заміна вузлів транспортного механізму;720
Ремонт індикатора монітора;480
Заміна індикатора монітора;1920
Заміна датчиків детекції;562
Заміна кнопок;402
Заміна гумотехнічних виробів;722
Установка програмного забезпечення;640
ТО;180
Ремонт плати керування;540
Заміна валів;960
