id;type;model;SN;region
KZP00170;Счетчик монет;ScanCoin SC-303;71551;Запоріжжя
KKR12755;Счетчик монет;ScanCoin SC-303;66818;Кривий ріг
KKR13054;Счетчик монет;ScanCoin SC-303;66817;Дніпро
KKR36295;Счетчик монет;ScanCoin SC-303;44890;Кривий ріг
KKR00655;Счетчик монет;ScanCoin SC-303;45266;Кривий ріг
KKI00608;Счетчик монет;ScanCoin SC-303;72424;Київ
KPL02220;Счетчик монет;ScanCoin SC-303;71060;Херсон
KDD41670;Счетчик монет;ScanCoin SC-303;88842;Полтава
KPL12278;Счетчик монет;ScanCoin SC-303;67239;Кременчук
KNK00857;Счетчик монет;ScanCoin SC-303;65647;Дніпро
KSE01043;Счетчик монет;ScanCoin SC-303;66911;Дніпро
KKT10851;Счетчик монет;ScanCoin SC-350;502317;Дніпро
KCS13150;Счетчик монет;ScanCoin SC-350;502306;Черкаси
KRO10833;Счетчик монет;ScanCoin SC-350;502301;Рівне
KZP00171;Счетчик монет;ScanCoin SC-350;502308;Запоріжжя
KZP10916;Счетчик монет;ScanCoin SC-350;502308;Запоріжжя
KZP10915;Счетчик монет;ScanCoin SC-350;502311;Запоріжжя
KLV00789;Счетчик монет;ScanCoin SC-350;502302;Львів
KKR11371;Счетчик монет;ScanCoin SC-350;502297;Кривий ріг
KTE11214;Счетчик монет;ScanCoin SC-350;019350-004;Тернопіль
KDN14447;Счетчик монет;ScanCoin SC-350;502313;Дніпро
KZR14335;Счетчик монет;ScanCoin SC-350;502291;Житомир
KHA39991;Счетчик монет;ScanCoin SC-350;502293;Харків
KNK00856;Счетчик монет;ScanCoin SC-350;501654;Миколаїв
KCN11284;Счетчик монет;ScanCoin SC-350;502316;Суми
KHE33429;Счетчик монет;ScanCoin SC-350;;Херсон
KHE09245;Счетчик монет;ScanCoin SC-350;502300;Херсон
KCN14570;Счетчик монет;ScanCoin SC-350;502303;Чернігів
KVI01215;Счетчик монет;ScanCoin SC-350;501294;Вінниця
KIF11278;Счетчик монет;ScanCoin SC-350;502292;Івано Франківськ
KNK36302;Счетчик монет;ScanCoin SC-350;606173;Миколаїв
KHA11315;Счетчик монет;ScanCoin SC-350;502295;Харків
KVO14755;Счетчик монет;ScanCoin SC-350;502307;Волинь
KVI36301;Счетчик монет;ScanCoin SC-350;0;Вінниця
KZP00187;Счетчик монет;ScanCoin SC-313;60506;Запоріжжя
